"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 23 23:15:53 CST 2020","Mon Mar 23 23:15:59 CST 2020","6373","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[test firm--test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:52 CST 2020","Mon Mar 23 23:16:55 CST 2020","2448","TestCase","test_firm","TestFirm","","","test_add_firm[!@#$%^&*()-7-test address]","新增厂商正常,厂商名称支持特殊字符、中文、英文、数字"
"passed","Mon Mar 23 23:16:44 CST 2020","Mon Mar 23 23:16:46 CST 2020","1586","TestCase","test_firm","TestFirm","","","test_add_firm[测试厂商-7-test address]","新增厂商正常,厂商名称支持特殊字符、中文、英文、数字"
"passed","Mon Mar 23 23:16:56 CST 2020","Mon Mar 23 23:16:57 CST 2020","1484","TestCase","test_firm","TestFirm","","","test_add_firm[测试厂商测试厂商测试厂商测试厂商测试厂商-7-test address]","新增厂商正常,厂商名称支持特殊字符、中文、英文、数字"
"passed","Mon Mar 23 23:15:40 CST 2020","Mon Mar 23 23:15:46 CST 2020","6391","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[-7-test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Tue Mar 24 09:01:42 CST 2020","Tue Mar 24 09:01:43 CST 2020","1330","TestCase","test_firm","TestFirm","","","test_add_firm_roolback","新增厂商_撤销"
"passed","Mon Mar 23 23:17:04 CST 2020","Mon Mar 23 23:17:05 CST 2020","1703","TestCase","test_firm","TestFirm","","","test_del_firm","删除厂商"
"passed","Mon Mar 23 23:16:50 CST 2020","Mon Mar 23 23:16:51 CST 2020","1666","TestCase","test_firm","TestFirm","","","test_add_firm[111-7-test address]","新增厂商正常,厂商名称支持特殊字符、中文、英文、数字"
"passed","Mon Mar 23 23:16:37 CST 2020","Mon Mar 23 23:16:44 CST 2020","6594","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[test firm-7-厂家地址厂家地址厂家地址厂家地址厂家地址厂]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:12 CST 2020","Mon Mar 23 23:16:18 CST 2020","6349","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[test firm--]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:05 CST 2020","Mon Mar 23 23:16:12 CST 2020","6226","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[-7-]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:15:46 CST 2020","Mon Mar 23 23:15:53 CST 2020","6436","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[ -7-test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:18 CST 2020","Mon Mar 23 23:16:24 CST 2020","6294","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[--]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:17:00 CST 2020","Mon Mar 23 23:17:01 CST 2020","1401","TestCase","test_firm","TestFirm","","","test_edit_firm","修改厂商名称、地址"
"passed","Mon Mar 23 23:16:24 CST 2020","Mon Mar 23 23:16:31 CST 2020","6532","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[智能厂家智能厂家智能厂家智能厂家智能厂家智-7-test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:31 CST 2020","Mon Mar 23 23:16:37 CST 2020","6402","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[test-1000-test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:15:59 CST 2020","Mon Mar 23 23:16:05 CST 2020","6255","TestCase","test_firm","TestFirm","","","test_add_firm_inputerror[--test address]","新增厂商异常,厂商名称和厂商代码不能为空,名称和地址不超过20个字符，编码不超过1000"
"passed","Mon Mar 23 23:16:47 CST 2020","Mon Mar 23 23:16:48 CST 2020","1688","TestCase","test_firm","TestFirm","","","test_add_firm[t-7-test address]","新增厂商正常,厂商名称支持特殊字符、中文、英文、数字"
