INFO	2020-02-28 20:37:26,226	[log.py:51]	你好
INFO	2020-02-29 14:10:28,857	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 14:27:01,078	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 14:45:39,548	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 14:54:16,109	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 14:54:16,778	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 14:54:18,382	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 14:54:19,461	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 14:59:30,897	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 14:59:31,554	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 14:59:33,167	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 14:59:34,257	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:02:25,028	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:02:25,714	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 15:02:27,319	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:02:28,403	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:06:57,841	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:06:58,498	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 15:07:00,097	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:07:01,174	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:08:35,463	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:08:36,126	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 15:08:37,744	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:08:38,818	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:12:46,106	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:12:46,766	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 15:12:48,369	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:12:49,451	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:17:43,428	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:17:44,075	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入18167122309
INFO	2020-02-29 15:17:45,672	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:17:46,764	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 15:48:12,012	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 15:48:12,635	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入domi
INFO	2020-02-29 15:48:14,234	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 15:48:15,311	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 16:07:35,827	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 16:07:36,455	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入domi
INFO	2020-02-29 16:07:38,057	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 16:07:39,148	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 20:16:44,234	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:20:03,868	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:39:34,042	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
